Key;Type;Desc;English
trang chủ;;;"Trang chủ"

kpi hiện tại;;;"KPI hiện tại"

chỉnh sửa;;;"Chỉnh sửa"

về chúng tôi;;;"Về chúng tôi"

đăng xuất;;;"Đăng xuất"

menu;;;"MENU"

other;;;"OTHER"

_;;;" "

mai chi;;;"Mai Chi"

chi.pm214998@sis.hust.ed;;;"chi.pm214998@sis.hust.edu.vn"

vừa xem;;;"Vừa xem"

danh sách kpi;;;"Danh sách KPI"

kpihub - trang chủ;;;"KPIHub > Trang chủ"

giảng dạy;;;"Giảng dạy"

_ chỉnh sửa;;;"+ Chỉnh sửa"

phục vụ;;;"Phục vụ"

nghiên cứu;;;"Nghiên cứu"

tìm kiếm công việc;;;"Tìm kiếm công việc"

thêm mục tiêu;;;"Thêm mục tiêu"

_ thêm tiêu chí;;;"+ Thêm tiêu chí"

at risk;;;"At Risk"

_ thêm công việc;;;"+ Thêm công việc"

tỉ lệ được phê duyệt ngh;;;"Tỉ lệ được phê duyệt nghiên cứu"

_0%;;;"80%"

on going;;;"On Going"

đề xuất đề tài mới;;;"Đề xuất đề tài mới"

hoàn thành đề tài;;;"Hoàn thành đề tài"

tỉ lệ sinh viên đạt điểm;;;"Tỉ lệ sinh viên đạt điểm từ 8 trở lên trong các bài kiểm tra"

giao bài tập về nhà cho;;;"Giao bài tập về nhà cho lớp 147111"

số giờ lên lớp;;;"Số giờ lên lớp"

lên lớp 147111;;;"Lên lớp 147111"

số sinh viên mới vào lab;;;"Số sinh viên mới vào lab"

đăng tuyển sinh lên 10 p;;;"Đăng tuyển sinh lên 10 page cộng đồng"

đăng tuyển sinh lên page;;;"Đăng tuyển sinh lên page cộng đồng"

done;;;"Done"

số lần tham gia hội thảo;;;"Số lần tham gia hội thảo khoa học"

đăng ký tham gia hội thả;;;"Đăng ký tham gia hội thảo khoa học"

_00%;;;"100%"

được duyệt đơn đăng ký h;;;"Được duyệt đơn đăng ký hội thảo khoa học"

tỉ lệ tham gia team buil;;;"Tỉ lệ tham gia team building"

đăng ký tham gia team bu;;;"Đăng ký tham gia team building"

loại kpi;;;"Loại KPI"

đăng nhập;;;"Đăng Nhập"

make your -life easier;;;"make your 
life easier"

chào mừng bạn đến với kp;;;"Chào mừng bạn đến với KPIHub
Nơi tuyệt vời để bắt đầu một hành trình mới."

đăng ký ngay;;;"Đăng ký ngay"

tìm hiểu thêm;;;"Tìm hiểu thêm"

email- số điện thoại;;;"Email/ Số điện thoại"

mật khẩu;;;"Mật khẩu"

họ và tên;;;"Họ và tên"

nghề nghiệp;;;"Nghề nghiệp"

đã có tài khoản- đăng nh;;;"Đã có tài khoản? Đăng nhập"

hello! welcome!;;;"Hello! Welcome!"

quên mật khẩu-;;;"Quên mật khẩu?"

hello! welcome back!;;;"Hello! Welcome back!"

lấy lại mật khẩu;;;"lấy lại mật khẩu"

gửi yêu cầu;;;"Gửi yêu cầu"

xin chào!;;;"Xin chào!"

chào mừng quay trở lại!;;;"Chào mừng quay trở lại!"

đã có tài khoản- đăng ký;;;"Đã có tài khoản? Đăng ký"

tỉ lệ sinh viên...;;;"Tỉ lệ sinh viên..."

giao bài tập về...;;;"Giao bài tập về..."

tỉ lệ được phê...;;;"Tỉ lệ được phê..."

kpihub - thông tin cá nh;;;"KPIHub > Thông tin cá nhân"

thông tin cá nhân;;;"Thông tin cá nhân"

thay đổi;;;"Thay đổi"

pham mai chi;;;"Pham Mai Chi"

_912345678;;;"0912345678"

_-----;;;"******"

sinh vien;;;"Sinh vien"

chi.pm214998@sis.vn;;;"chi.pm214998@sis.vn"

lưu;;;"Lưu"

tên mục tiêu;;;"Tên mục tiêu"

trọng số [%];;;"Trọng số (%)"

mô tả;;;"Mô tả"

hủy;;;"Hủy"

chỉnh sửa mục tiêu;;;"Chỉnh sửa mục tiêu"

tên tiêu chí;;;"Tên tiêu chí"

chỉ tiêu;;;"Chỉ tiêu"

chỉnh sửa tiêu chí;;;"Chỉnh sửa tiêu chí"

tên công việc;;;"Tên công việc"

kpi cần đạt;;;"KPI cần đạt"

chỉnh sửa công việc;;;"Chỉnh sửa công việc"

cập nhật tiến độ;;;"Cập nhật tiến độ"

tiến độ hiện tại;;;"Tiến độ hiện tại"

_7;;;"07"

_2;;;"02"

_3;;;"03"

_4;;;"04"

_5;;;"05"

_6;;;"06"

_8;;;"28"

_1;;;"11"

sun;;;"SUN"

mon;;;"MON"

sat;;;"SAT"

fri;;;"FRI"

thu;;;"THU"

wed;;;"WED"

tue;;;"TUE"

kpihub - kpi hiện tại;;;"KPIHub > KPI hiện tại"

xin chào- mai chi!-chúc;;;"Xin chào, Mai Chi!
Chúc ngày mới tốt lành!"

cùng xem qua số liệu của;;;"Cùng xem qua số liệu của ngày hôm nay nhé"

tổng số công việc hôm na;;;"Tổng số công việc hôm nay"

công việc của hôm nay;;;"công việc của hôm nay"

hiệu suất của hôm nay;;;"Hiệu suất của hôm nay"

so với hôm qua;;;"so với hôm qua"

tuần này;;;"Tuần này"

_ kpi đã hoàn thành;;;"% KPI đã hoàn thành"

_ am;;;"6 AM"

_am;;;"7AM"

_0 am;;;"10 AM"

_2 am;;;"12 AM"

chọn chế độ xem;;;"Chọn chế độ xem"

tình trạng;;;"Tình trạng"

_0-total;;;"20
Total"

chưa hoàn thành;;;"Chưa hoàn thành"

chưa hoàn thành 4 task;;;"Chưa hoàn thành 4 task"

đã hoàn thành 16 task;;;"Đã hoàn thành 16 task"

mục tiêu - giảng dạy;;;"Mục tiêu > Giảng dạy"

giao bài tập về nhà...;;;"Giao bài tập về nhà..."

_0 bài;;;"10 bài"

_ giờ;;;"6 giờ"

dashboard;;;"Dashboard"

đề xuất được 5 đề tài mớ;;;"Đề xuất được 5 đề tài mới"

hoàn thành 5 đề tài;;;"Hoàn thành 5 đề tài"

đăng ký tham gia 5 hội t;;;"Đăng ký tham gia 5 hội thảo khoa học"

được duyệt đơn đăng ký 5;;;"Được duyệt đơn đăng ký 5 hội thảo khoa học"

đăng ký tham gia 5 buổi;;;"Đăng ký tham gia 5 buổi team building"

cái này không dùng đừng;;;"CÁI NÀY KHÔNG DÙNG ĐỪNG ĐỤNG ĐỪNG XEM"

make your life easier;;;"Make your life easier"

meomeomeo;;;"meomeomeo"

kpihub  - thông tin cá n;;;"KPIHub  > Thông tin cá nhân"

tổng số công việc-hôm na;;;"Tổng số công việc
hôm nay"

thực hiện ngay;;;"Thực hiện ngay"

lên lịch;;;"Lên lịch"

ủy thác;;;"Ủy thác"

xóa bỏ;;;"Xóa bỏ"

_5%;;;"15%"

_ cái biểu đô tự bịa-hộ;;;"2 CÁI BIỂU ĐÔ TỰ BỊA
HỘ CÁI KHÔNG VẼ LẠI ĐÂU"

giao bài...;;;"Giao bài..."

chi tiết mục tiêu;;;"Chi tiết mục tiêu"

thoát;;;"Thoát"

chi tiết tiêu chí;;;"Chi tiết tiêu chí"

đơn vị;;;"Đơn vị"

chi tiết công việc;;;"Chi tiết công việc"

ngày bắt đầu;;;"Ngày bắt đầu"

ngày kết thúc;;;"Ngày kết thúc"

kpihub - lịch;;;"KPIHub > Lịch"

tháng tư- 2023;;;"Tháng Tư, 2023"

danh sách công việc hôm;;;"Danh sách công việc hôm nay"

học uiux-mô tả- xem vide;;;"Học UIUX
Mô tả: Xem video Task Analysis
Loại KPI: Học tập"

_6 công việc;;;"16 công việc"

_ công việc đến hạn;;;"4 công việc đến hạn"

